date,open,high,low,close,volume,per,pbr,roe,market_kospi_ma5_ratio,market_kospi_ma20_ratio,market_kospi_ma60_ratio,market_kospi_ma120_ratio,bond_k3y_ma5_ratio,bond_k3y_ma20_ratio,bond_k3y_ma60_ratio,bond_k3y_ma120_ratio
20160104,147500.0,148000.0,143500.0,144000.0,445332.0,7.67,0.43,6.06,1.0140666647380525,1.0207273000883816,1.0030900857013585,0.9822675398301458,1.0007205005198547,1.0022836263987212,1.0002947629437398,1.000591220452276
20160105,143000.0,145000.0,142000.0,143500.0,530496.0,7.67,0.43,6.06,1.015097320181107,1.0307047874554511,1.0122783005058125,0.9919275271746832,1.0004194439631984,1.0022151681929252,1.000242353150325,1.0004555538626902
20160106,144000.0,145000.0,139000.0,140000.0,769406.0,7.67,0.43,6.06,1.0092960163709819,1.0354093173525643,1.0167052135122208,0.9973171326902154,1.0005560417122439,1.0026329791485407,1.000725559839693,1.0008609115024008
20160107,138500.0,140000.0,137500.0,137500.0,586187.0,7.67,0.43,6.06,0.996235836680631,1.02422829869677,1.0052813124804063,0.9871986899654875,1.0006379003964094,1.002920484722828,1.0011039297010271,1.0011777131090867
20160108,134500.0,138000.0,133500.0,136500.0,888701.0,7.67,0.43,6.06,1.0004250552471627,1.027503819776533,1.0093283766781331,0.9923602211163352,0.9999088838268793,1.00207281327331,1.0005348828728073,1.000541724568387
20160111,134500.0,140500.0,134000.0,140000.0,542749.0,7.67,0.43,6.06,0.9901071698347818,1.0152316675380584,0.9979414388760783,0.9824944612527701,1.0003188630255546,1.0023529733961096,1.0010857251831258,1.0010461753061601
20160112,140500.0,141500.0,139000.0,139500.0,386506.0,7.67,0.43,6.06,0.9884414161716392,1.0087235734217752,0.9926461962843686,0.9783764958301565,1.000163961305132,1.002080823568065,1.0011191929046361,1.001005487828735
20160113,140500.0,141500.0,139500.0,140500.0,338336.0,7.67,0.43,6.06,1.0104993464789371,1.0283426857026825,1.0143199051449787,1.001019135342183,1.0002823469406343,1.0020437769728379,1.0013821337744409,1.0011938509270293
20160114,138500.0,143500.0,136500.0,141000.0,664829.0,7.67,0.43,6.06,1.0052706774901548,1.0200473927991487,1.0101482049485286,0.9980741678642776,1.0001366182430893,1.0016898556211074,1.0012659055023578,1.0010149014269392
20160115,141000.0,142000.0,136500.0,138500.0,568653.0,7.67,0.43,6.06,0.9994814032242882,1.0100261115818365,1.0034261860991311,0.9923058387751574,0.999863394198807,1.00126765829769,1.0011139699121743,1.000795331019505
20160118,137500.0,140000.0,135500.0,139000.0,400716.0,7.67,0.43,6.06,1.0045759415637596,1.0150204962323373,1.011188759451471,1.0010507757231204,0.999444398903371,1.0004855176689682,1.0005980365858569,1.0002347219911718
20160119,138000.0,140000.0,136000.0,140000.0,332956.0,7.67,0.43,6.06,0.9981597145686747,1.0097521699197882,1.0075454335144405,0.9987235879886974,0.9997904957962526,1.0005788698819014,1.0008944156395831,1.0004960245870198
20160120,139500.0,140000.0,135500.0,136500.0,544330.0,7.67,0.43,6.06,0.9859312435147968,0.9924390321282737,0.9907339225508527,0.9827385706441271,1.000746860000182,1.001424095699231,1.0019529914205163,1.0015226030016815
