2001-10-25,"13,560","13,560","13,560","13,560","17,296"
2001-10-26,"15,144","15,144","15,144","15,144","82,572"
2001-10-29,"16,926","16,926","16,629","16,926","6,599,383"
2001-10-30,"16,827","17,420","15,985","16,926","21,233,592"
2001-10-31,"17,173","17,272","16,431","16,480","6,917,437"
2001-11-01,"16,480","16,629","15,886","15,985","6,591,281"
2001-11-02,"15,936","16,233","14,649","15,193","9,937,361"
2001-11-05,"15,292","15,936","14,748","15,936","10,945,665"
2001-11-06,"16,035","16,084","15,589","15,589","5,037,997"
2001-11-07,"15,639","16,233","15,639","15,837","5,637,169"
2001-11-08,"15,837","16,084","15,639","15,688","3,077,712"
2001-11-09,"15,589","15,639","15,243","15,342","3,317,862"
2001-11-12,"14,995","15,243","14,748","15,144","3,375,500"
2001-11-13,"14,946","15,342","14,798","14,847","3,298,656"
2001-11-14,"14,847","15,094","14,748","14,847","3,440,240"
2001-11-15,"15,045","15,342","14,896","15,193","3,960,264"
2001-11-16,"15,243","15,243","14,946","15,045","1,981,228"
2001-11-19,"15,045","15,094","14,748","14,946","3,370,074"
2001-11-20,"14,896","15,144","14,748","14,847","2,532,208"
2001-11-21,"14,798","14,896","14,055","14,204","4,721,731"
2001-11-22,"13,857","14,253","13,461","13,857","6,453,869"
2001-11-23,"13,956","14,501","13,758","14,105","4,128,066"
2001-11-26,"14,154","14,451","13,956","13,956","2,931,804"
2001-11-27,"13,857","14,105","13,214","13,313","4,524,621"
2001-11-28,"13,164","13,560","12,373","12,373","5,387,795"
2001-11-29,"12,125","13,412","11,531","13,065","10,017,761"
2001-11-30,"13,263","13,412","12,768","13,164","3,295,655"
2001-12-03,"13,313","14,352","13,313","14,352","6,400,373"
2001-12-04,"14,550","15,243","14,352","14,451","6,015,376"
2001-12-05,"14,649","14,798","13,758","14,055","5,718,438"
2001-12-06,"14,055","14,501","13,659","14,006","5,712,649"
2001-12-07,"13,857","14,204","13,808","13,857","2,756,284"
2001-12-10,"13,956","14,055","13,560","13,560","2,784,178"
2001-12-11,"13,313","13,610","13,263","13,362","1,684,835"
2001-12-12,"13,065","13,758","13,016","13,560","2,735,199"
2001-12-13,"13,362","13,461","13,214","13,362","1,647,181"
2001-12-14,"13,412","13,758","13,164","13,214","2,299,939"
2001-12-17,"13,263","13,461","12,867","12,917","1,735,603"
2001-12-18,"12,867","13,115","12,471","12,471","2,221,277"
2001-12-19,"12,471","12,669","12,076","12,175","2,723,045"
2001-12-20,"12,175","12,373","11,977","12,274","1,850,202"
2001-12-21,"12,076","13,016","12,026","12,323","3,222,327"
2001-12-24,"12,373","13,164","12,373","13,065","3,406,243"
2001-12-26,"13,362","13,560","13,065","13,164","2,287,452"
2001-12-27,"12,719","13,016","12,719","12,818","1,206,880"
2001-12-28,"12,966","13,263","12,818","13,115","1,765,821"
2002-01-02,"13,263","13,956","13,214","13,857","3,400,090"
2002-01-03,"13,907","14,402","13,758","14,204","4,095,312"
2002-01-04,"14,451","14,798","14,204","14,303","3,430,258"
2002-01-07,"14,352","14,501","14,006","14,402","2,005,607"
2002-01-08,"14,253","14,995","14,253","14,896","3,980,430"
2002-01-09,"14,946","15,243","14,798","14,946","1,858,819"
2002-01-10,"15,144","16,035","14,995","15,688","4,927,298"
2002-01-11,"15,688","15,936","15,094","15,837","3,430,753"
2002-01-14,"15,837","15,985","15,639","15,936","1,778,995"
2002-01-15,"15,787","15,985","15,144","15,193","2,097,888"
2002-01-16,"14,946","15,193","14,699","14,847","2,594,483"
2002-01-17,"14,748","14,995","14,402","14,847","1,823,620"
2002-01-18,"14,748","14,847","14,451","14,451","1,054,101"
2002-01-21,"14,253","15,490","14,154","15,490","2,737,957"
2002-01-22,"15,490","15,985","15,391","15,688","2,543,331"
2002-01-23,"15,589","16,233","15,540","16,233","3,371,236"
2002-01-24,"16,332","16,579","15,738","16,084","3,374,206"
2002-01-25,"16,332","18,014","16,332","18,014","9,276,823"
2002-01-28,"18,806","19,994","18,262","18,410","13,280,339"
2002-01-29,"18,509","18,955","17,915","18,707","3,681,723"
2002-01-30,"18,113","18,361","16,975","17,223","4,786,290"
2002-01-31,"17,519","17,866","17,124","17,816","2,770,953"
2002-02-01,"18,014","18,509","17,569","17,569","2,502,364"
2002-02-04,"17,420","17,965","16,728","16,975","2,181,582"
2002-02-05,"16,629","17,074","16,431","17,074","2,247,645"
2002-02-06,"17,420","19,103","17,322","18,608","8,904,637"
2002-02-07,"18,311","18,509","17,668","17,866","2,939,513"
2002-02-08,"18,212","18,905","18,064","18,262","3,407,910"
2002-02-14,"18,707","19,004","18,410","18,806","2,035,320"
2002-02-15,"18,608","18,955","18,262","18,311","2,510,365"
2002-02-18,"18,014","18,311","17,668","17,816","3,104,596"
2002-02-19,"18,014","18,064","17,519","17,767","2,073,610"
2002-02-20,"17,717","18,361","17,569","18,361","2,681,167"
2002-02-21,"18,311","18,608","18,014","18,212","1,590,078"
2002-02-22,"18,014","18,212","17,915","17,965","1,310,941"
2002-02-25,"18,311","18,707","18,212","18,410","2,818,943"
2002-02-26,"18,707","18,707","17,915","17,965","2,563,174"
2002-02-27,"17,915","18,113","17,223","17,717","3,192,988"
2002-02-28,"17,816","18,163","17,816","17,915","1,912,942"
2002-03-04,"18,212","18,757","18,113","18,658","3,654,950"
2002-03-05,"18,856","19,450","18,559","18,658","3,729,672"
2002-03-06,"18,806","18,856","18,361","18,559","1,302,889"
2002-03-07,"18,707","19,103","18,410","18,608","2,649,878"
2002-03-08,"18,658","19,054","18,509","18,707","1,915,013"
2002-03-11,"18,955","19,796","18,658","19,747","6,233,148"
2002-03-12,"19,895","20,538","19,499","19,895","5,068,559"
2002-03-13,"19,895","20,390","19,796","20,093","2,447,928"
2002-03-14,"20,291","20,786","19,697","20,736","3,594,716"
2002-03-15,"20,736","21,776","20,538","21,380","5,168,801"
2002-03-18,"21,776","22,221","21,182","21,281","3,693,150"
2002-03-19,"21,281","21,380","20,340","21,281","4,580,167"
2002-03-20,"21,083","21,429","20,439","20,439","2,731,521"
2002-03-21,"19,994","21,033","19,994","20,439","1,946,191"
2002-03-22,"20,588","20,885","20,340","20,687","1,571,165"
2002-03-25,"20,736","21,281","20,489","20,984","1,734,744"
2002-03-26,"20,885","21,578","20,885","20,885","2,539,401"
2002-03-27,"20,489","20,637","19,450","20,192","6,163,962"
2002-03-28,"20,291","20,538","20,043","20,142","1,844,807"
2002-03-29,"20,192","20,984","19,895","20,687","3,460,840"
2002-04-01,"19,301","19,747","18,212","18,361","5,848,605"
2002-04-02,"18,559","18,757","17,965","18,509","2,800,889"
2002-04-03,"18,460","19,153","18,460","18,806","1,754,556"
2002-04-04,"18,806","19,153","18,707","18,806","1,144,372"
2002-04-08,"18,905","19,202","18,509","18,509","1,535,269"
2002-04-09,"18,509","18,707","18,262","18,262","1,064,659"
2002-04-10,"18,262","18,311","17,519","17,569","2,342,857"
2002-04-11,"17,519","17,866","17,173","17,618","1,350,838"
2002-04-12,"17,322","18,262","17,272","18,262","1,692,038"
2002-04-15,"18,311","18,955","18,311","18,856","1,505,021"
2002-04-16,"18,856","19,202","18,658","18,806","1,084,653"
2002-04-17,"19,103","19,202","18,658","18,757","1,299,373"
2002-04-18,"18,806","19,153","18,707","19,153","1,238,492"
2002-04-19,"19,103","19,202","18,658","18,707","937,280"
2002-04-22,"18,361","18,509","17,767","17,965","1,831,622"
2002-04-23,"17,569","17,816","17,420","17,519","1,415,649"
2002-04-24,"17,519","18,014","17,371","17,569","1,344,534"
2002-04-25,"17,272","17,519","16,579","16,728","1,414,841"
2002-04-26,"16,728","17,025","16,579","16,876","1,249,030"
2002-04-29,"16,332","16,530","15,837","16,035","1,517,286"
2002-04-30,"15,837","16,035","14,847","14,896","3,384,976"
2002-05-02,"15,144","16,134","14,896","15,936","2,685,744"
2002-05-03,"16,035","17,173","16,035","16,827","2,886,168"
2002-05-06,"17,124","17,371","16,629","16,827","1,602,131"
2002-05-07,"16,431","17,569","16,381","17,025","1,587,320"
2002-05-08,"17,420","17,965","17,371","17,965","1,664,285"
2002-05-09,"18,262","18,905","18,262","18,707","2,337,542"
2002-05-10,"18,608","18,955","18,262","18,410","1,908,405"
2002-05-13,"18,212","18,212","17,717","17,866","959,052"
2002-05-14,"17,965","18,311","17,322","17,420","1,693,150"
2002-05-15,"17,668","18,410","17,322","18,410","2,100,929"
2002-05-16,"18,212","18,856","17,915","18,806","2,005,738"
2002-05-17,"18,806","19,004","18,608","18,757","896,342"
2002-05-20,"18,856","18,856","18,460","18,509","508,516"
2002-05-21,"18,113","18,311","17,767","17,767","770,347"
2002-05-22,"17,519","18,014","17,519","18,014","691,988"
2002-05-23,"18,014","18,361","17,816","17,915","837,037"
2002-05-24,"17,816","18,163","17,767","17,915","460,244"
2002-05-27,"17,866","18,064","17,668","17,767","547,100"
2002-05-28,"17,618","17,816","17,272","17,470","855,910"
2002-05-29,"16,926","17,124","16,431","16,876","1,455,829"
2002-05-30,"16,579","16,728","15,837","15,936","1,747,342"
2002-05-31,"15,936","16,530","15,787","15,886","1,433,996"
2002-06-03,"15,886","16,629","15,886","16,629","1,055,283"
2002-06-04,"16,233","16,579","16,134","16,332","1,024,661"
2002-06-05,"16,530","16,777","16,282","16,332","1,085,603"
2002-06-07,"16,035","16,827","16,035","16,431","811,871"
2002-06-10,"16,678","16,827","16,530","16,728","446,514"
2002-06-11,"16,728","17,272","16,728","17,272","896,029"
2002-06-12,"17,371","17,668","17,272","17,618","873,317"
2002-06-14,"17,420","17,519","17,223","17,371","494,463"
