1989-08-10,"23,223","23,223","23,223","23,223","20,699", , 
1989-08-11,"24,233","24,233","24,233","24,233","25,938", , 
1989-08-12,"25,243","25,243","25,243","25,243","60,255", , 
1989-08-14,"26,252","26,252","26,252","26,252","221,758", , 
1989-08-16,"27,262","27,262","25,747","25,949","439,516", , 
1989-08-17,"25,747","25,949","25,243","25,343","195,503", , 
1989-08-18,"25,243","25,243","24,738","24,839","133,049", , 
1989-08-19,"24,940","25,243","24,738","25,041","88,610", , 
1989-08-21,"24,940","25,041","24,334","24,738","84,757", , 
1989-08-22,"24,637","24,738","24,233","24,435","99,623", , 
1989-08-23,"24,435","24,435","24,233","24,233","169,238", , 
1989-08-24,"24,233","24,435","24,132","24,334","160,968", , 
1989-08-25,"24,435","25,041","24,435","24,637","136,099", , 
1989-08-26,"24,637","25,444","24,637","25,041","137,753", , 
1989-08-28,"25,142","25,444","24,839","25,142","197,662", , 
1989-08-29,"25,142","25,142","24,738","24,738","171,050", , 
1989-08-30,"24,435","24,940","24,233","24,839","118,292", , 
1989-08-31,"24,839","24,839","24,334","24,637","160,671", , 
1989-09-01,"24,536","24,738","24,435","24,435","98,464", , 
1989-09-02,"24,334","24,536","24,233","24,435","72,585", , 
1989-09-04,"24,233","24,435","24,233","24,233","119,560", , 
1989-09-05,"24,031","24,233","23,930","24,233","113,865", , 
1989-09-06,"25,243","25,243","24,334","24,334","197,533", , 
1989-09-07,"24,233","24,536","24,031","24,132","119,817", , 
1989-09-08,"24,132","24,233","24,031","24,132","77,795", , 
1989-09-09,"24,132","24,233","24,031","24,031","44,032", , 
1989-09-11,"24,031","24,132","23,930","24,031","65,484", , 
1989-09-12,"24,031","24,233","23,930","24,132","62,870", , 
1989-09-16,"24,132","24,334","24,031","24,132","30,216", , 
1989-09-18,"24,132","24,738","23,728","24,031","88,907", , 
1989-09-19,"23,728","24,031","23,728","23,930","62,058", , 
1989-09-20,"23,728","24,031","23,627","23,829","68,030", , 
1989-09-21,"23,627","23,829","23,627","23,728","74,784", , 
1989-09-22,"23,526","23,728","23,324","23,627","54,402", , 
1989-09-23,"23,324","23,526","23,324","23,324","30,929", , 
1989-09-25,"23,324","23,526","23,223","23,223","102,268", , 
1989-09-26,"23,223","23,425","23,021","23,223","89,769", , 
1989-09-27,"23,223","23,223","23,021","23,021","52,500", , 
1989-09-28,"22,920","23,324","22,920","23,223","72,130", , 
1989-09-29,"23,223","23,425","23,122","23,223","56,175", , 
1989-09-30,"23,223","23,324","22,920","23,324","36,248", , 
1989-10-04,"23,223","23,223","22,718","22,819","53,728", , 
1989-10-05,"22,213","22,819","22,213","22,718","40,279", , 
1989-10-06,"22,617","22,617","22,213","22,415","34,039", , 
1989-10-07,"22,415","22,516","22,213","22,415","28,731", , 
1989-10-10,"22,314","22,516","22,112","22,415","47,132", , 
1989-10-11,"22,213","22,415","22,112","22,213","46,766", , 
1989-10-12,"22,314","22,415","22,213","22,314","50,985", , 
1989-10-13,"22,213","22,314","22,213","22,213","46,508", , 
1989-10-14,"22,314","22,516","22,213","22,314","29,157", , 
1989-10-16,"22,314","22,314","22,011","22,112","36,367", , 
1989-10-17,"22,011","22,314","21,810","22,213","46,875", , 
1989-10-18,"22,213","22,213","21,810","21,910","50,906", , 
1989-10-19,"21,910","22,011","21,608","21,910","39,130", , 
